study_id,outcome_id,title,year,authors,outcome_name,outcome_dimension,blooms_level,n_treatment,n_control,m_treatment,sd_treatment,m_control,sd_control,hedges_g,se_g,ci_lower,ci_upper,cohens_d,t_value,f_value,p_value,eta_squared,effect_source,extraction_method,effect_direction,flag,study_design,genai_tool,measure_type,measure_instrument,source,reliability,review_needed,extraction_status,mean_difference,standard_error,confidence_interval_lower,confidence_interval_upper,u_value,z_value,effect_size,sample_size_total,relative_effect,verification_status,verification_confidence,data_tier,verification_method
13,013_03,Enhancing Ophthalmology Students' Awareness of Retinitis Pigmentosa: Assessing the Efficacy of ChatGPT in AI-Assisted Teaching of Rare Diseases,2025.0,Jiamu Zeng; Kexin Sun; Peng Qin; Shulin Liu,complex questions performance,cognitive,analyze,72.0,70.0,,,,,,,,,,,,,,insufficient_data,,positive,,quasi-experimental,ChatGPT,post-test,researcher-developed test,Frontiers in Medicine,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
14,014_01,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,academic achievement,cognitive,apply,35.0,33.0,,,,,,,,,,,,,,insufficient_data,,,,,,post-test,achievement test,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
14,014_02,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,goal setting,metacognitive,,35.0,33.0,5.28,0.95,5.14,0.9,0.1494,0.243,-0.3268,0.6257,0.1512,0.625,,0.534,,calculated_M_SD,,,,,,pre-test,SRL scale,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
14,014_03,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,environmental structure,metacognitive,,35.0,33.0,5.41,0.94,5.45,0.92,-0.0425,0.2427,-0.5181,0.4331,-0.043,-0.178,,0.859,,calculated_M_SD,,,,,,pre-test,SRL scale,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
14,014_04,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,task strategy,metacognitive,,35.0,33.0,4.76,1.11,4.83,0.87,-0.0691,0.2427,-0.5449,0.4066,-0.0699,-0.283,,0.778,,calculated_M_SD,,,,,,pre-test,SRL scale,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
14,014_05,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,time management,metacognitive,,35.0,33.0,4.84,0.99,4.93,0.89,-0.0944,0.2428,-0.5702,0.3815,-0.0955,-0.398,,0.692,,calculated_M_SD,,,,,,pre-test,SRL scale,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
14,014_06,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,help seeking,metacognitive,,35.0,33.0,5.21,0.9,5.02,0.82,0.2179,0.2434,-0.2591,0.6949,0.2204,0.918,,0.362,,calculated_M_SD,,,,,,pre-test,SRL scale,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
14,014_07,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,self-evaluation,metacognitive,,35.0,33.0,5.28,0.9,5.18,0.83,0.1141,0.2428,-0.3619,0.59,0.1154,0.459,,0.648,,calculated_M_SD,,,,,,pre-test,SRL scale,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
14,014_08,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,cognitive load,cognitive,,35.0,33.0,,,,,,,,,,,,,,insufficient_data,,negative,,,,post-test,cognitive load scale,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
14,014_09,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,technology acceptance - perceived usefulness,affective,,35.0,33.0,,,,,,,,,,,,,,insufficient_data,,positive,,,,post-test,technology acceptance model scale,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
14,014_10,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,technology acceptance - perceived ease of use,affective,,35.0,33.0,,,,,,,,,,,,,,insufficient_data,,negative,,,,post-test,technology acceptance model scale,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
15,015_01,Examining the Usage of Generative AI Models in Student Learning Activities for Software Programming,2025.0,Rufeng Chen; Shuaishuai Jiang; Jiyun Shen; AJung Moon; Lili Wei,Task Performance - Passed Tests,cognitive,apply,6.0,6.0,410.7,,80.7,,,,,,,,,0.015,,insufficient_data,table_ocr,,,,,post-test,Randoop generated test cases,arXiv,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
15,015_02,Examining the Usage of Generative AI Models in Student Learning Activities for Software Programming,2025.0,Rufeng Chen; Shuaishuai Jiang; Jiyun Shen; AJung Moon; Lili Wei,Task Performance - Passed Tests,cognitive,apply,6.0,6.0,291.0,,290.8,,,,,,,,,,,insufficient_data,table_ocr,,,,,post-test,Randoop generated test cases,arXiv,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
16,016_01,Exploring Implementations of GenAI in Teaching IS Subjects and Student Perceptions,2025.0,Yabing Jiang; Kazuo Nakatani,Database Report,cognitive,apply,30.0,38.0,7.33,1.25,7.3,0.77,0.0297,,,,0.03,45.76,,0.922,,from_cohens_d,table_ocr,,,,,post-test,Course Report Assignment,OpenAlex,,,,,,,,,,,,,MANUAL_VERIFIED,100.0,1,manual_pdf_review
16,016_02,Exploring Implementations of GenAI in Teaching IS Subjects and Student Perceptions,2025.0,Yabing Jiang; Kazuo Nakatani,Database Exam,cognitive,understand,30.0,37.0,8.43,2.76,7.78,2.92,0.2273,,,,0.23,65.0,,0.178,,from_cohens_d,table_ocr,,,,,post-test,Course Exam,OpenAlex,,,,,,,,,,,,,MANUAL_VERIFIED,100.0,1,manual_pdf_review
16,016_03,Exploring Implementations of GenAI in Teaching IS Subjects and Student Perceptions,2025.0,Yabing Jiang; Kazuo Nakatani,Python Report,cognitive,apply,30.0,20.0,3.63,0.32,3.61,0.3,0.0689,,,,0.07,48.0,,0.803,,from_cohens_d,table_ocr,,,,,post-test,Course Report Assignment,OpenAlex,,,,,,,,,,,,,MANUAL_VERIFIED,100.0,1,manual_pdf_review
16,016_04,Exploring Implementations of GenAI in Teaching IS Subjects and Student Perceptions,2025.0,Yabing Jiang; Kazuo Nakatani,Python Assignment1,cognitive,apply,35.0,21.0,1.85,0.23,1.67,0.28,0.71,,,,0.72,54.0,,0.012,,from_cohens_d,table_ocr,,,,,post-test,Programming Assignment,OpenAlex,,,,,,,,,,,,,MANUAL_VERIFIED,100.0,1,manual_pdf_review
16,016_05,Exploring Implementations of GenAI in Teaching IS Subjects and Student Perceptions,2025.0,Yabing Jiang; Kazuo Nakatani,Python Assignment2,cognitive,apply,29.0,20.0,1.86,0.27,1.6,0.48,0.6691,,,,0.68,27.42,,0.042,,from_cohens_d,table_ocr,,,,,post-test,Programming Assignment,OpenAlex,,,,,,,,,,,,,MANUAL_VERIFIED,100.0,1,manual_pdf_review
16,016_06,Exploring Implementations of GenAI in Teaching IS Subjects and Student Perceptions,2025.0,Yabing Jiang; Kazuo Nakatani,Python Quiz,cognitive,remember,35.0,21.0,1.54,0.23,1.49,0.25,0.2169,,,,0.22,54.0,,0.433,,from_cohens_d,table_ocr,,,,,post-test,Course Quiz,OpenAlex,,,,,,,,,,,,,MANUAL_VERIFIED,100.0,1,manual_pdf_review
16,016_07,Exploring Implementations of GenAI in Teaching IS Subjects and Student Perceptions,2025.0,Yabing Jiang; Kazuo Nakatani,Python Exam,cognitive,understand,37.0,22.0,16.56,3.96,15.29,3.38,0.3355,,,,0.34,57.0,,0.215,,from_cohens_d,table_ocr,,,,,post-test,Course Exam,OpenAlex,,,,,,,,,,,,,MANUAL_VERIFIED,100.0,1,manual_pdf_review
17,017_01,Exploring the Role of AI Technology in Shaping College Students’ English Writing Development: Insights from the Complex Dynamic Systems Theory,2025.0,Wang Jian; Xiaohong Zhang,Writing Score,cognitive,create,,,,,,,,,,,1.94,-12.539,,0.0,,,table_ocr,,,,,gain_score,,OpenAlex,,,,-2.25,0.179,-2.645,-1.855,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
17,017_02,Exploring the Role of AI Technology in Shaping College Students’ English Writing Development: Insights from the Complex Dynamic Systems Theory,2025.0,Wang Jian; Xiaohong Zhang,Syntactic Complexity,cognitive,create,,,,,,,,,,,2.85,-6.881,,0.0,,,table_ocr,,,,,gain_score,,OpenAlex,,,,-5.126,0.745,-6.766,-3.487,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
17,017_03,Exploring the Role of AI Technology in Shaping College Students’ English Writing Development: Insights from the Complex Dynamic Systems Theory,2025.0,Wang Jian; Xiaohong Zhang,Lexical Complexity,cognitive,create,,,,,,,,,,,1.77,-4.231,,0.001,,,table_ocr,,,,,gain_score,,OpenAlex,,,,-4.797,1.134,-7.293,-2.302,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
17,017_04,Exploring the Role of AI Technology in Shaping College Students’ English Writing Development: Insights from the Complex Dynamic Systems Theory,2025.0,Wang Jian; Xiaohong Zhang,Accuracy,cognitive,apply,,,,,,,,,,,1.73,-6.382,,0.0,,,table_ocr,,,,,gain_score,,OpenAlex,,,,-8.27,1.296,-11.122,-5.418,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
17,017_05,Exploring the Role of AI Technology in Shaping College Students’ English Writing Development: Insights from the Complex Dynamic Systems Theory,2025.0,Wang Jian; Xiaohong Zhang,Fluency,cognitive,apply,,,,,,,,,,,0.32,-1.214,,0.25,,,table_ocr,,,,,gain_score,,OpenAlex,,,,-0.31,0.255,-0.871,0.252,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
19,019_01,Generative Artificial Intelligence Amplifies the Role of Critical Thinking Skills and Reduces Reliance on Prior Knowledge While Promoting In-Depth Learning,2025.0,Guoqing Zhao; Haixi Sheng; Yaxuan Wang; Xiaohui Cai; Taotao Long,Knowledge Retention,cognitive,remember,89.0,37.0,21.815,2.926,21.38,3.419,0.1405,0.1958,-0.2433,0.5243,0.1414,,1.36,0.26,,calculated_from_table,table_ocr,,,,,post-test,Coding Knowledge Test,Semantic Scholar,,,,,,,,,,,,,PARTIALLY_VERIFIED,25.0,2,manual_pdf_review
19,019_02,Generative Artificial Intelligence Amplifies the Role of Critical Thinking Skills and Reduces Reliance on Prior Knowledge While Promoting In-Depth Learning,2025.0,Guoqing Zhao; Haixi Sheng; Yaxuan Wang; Xiaohui Cai; Taotao Long,Knowledge Transfer,cognitive,apply,89.0,37.0,3.92,2.137,1.959,1.969,0.9328,0.2042,0.5324,1.3331,0.9384,,12.797,0.001,,calculated_from_table,table_ocr,,,,,post-test,Transfer Test,Semantic Scholar,,,,,,,,,,,,,PARTIALLY_VERIFIED,25.0,2,manual_pdf_review
20,020_01,How Students Use AI Feedback Matters: Experimental Evidence on Physics Achievement and Autonomy,2025.0,Xusheng Dai; Zhaochun Wen; Jianxiao Jiang; Huiqin Liu; Yu Zhang,Physics Achievement - Bottom Third Subgroup,cognitive,apply,42.0,38.0,,,,,0.6665,,,,0.673,,,0.05,,from_cohens_d,table_ocr,,,,,post-test,Physics Exam,arXiv,,,,,,,,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
20,020_02,How Students Use AI Feedback Matters: Experimental Evidence on Physics Achievement and Autonomy,2025.0,Xusheng Dai; Zhaochun Wen; Jianxiao Jiang; Huiqin Liu; Yu Zhang,Physics Achievement - Medium Third Subgroup,cognitive,apply,42.0,38.0,,,,,-0.5338,,,,-0.539,,,0.05,,from_cohens_d,table_ocr,,,,,post-test,Physics Exam,arXiv,,,,,,,,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
20,020_03,How Students Use AI Feedback Matters: Experimental Evidence on Physics Achievement and Autonomy,2025.0,Xusheng Dai; Zhaochun Wen; Jianxiao Jiang; Huiqin Liu; Yu Zhang,Self-Regulated Learning - Top Third Subgroup,metacognitive,,42.0,38.0,,,,,-0.4724,,,,-0.477,,,0.05,,from_cohens_d,table_ocr,,,,,post-test,SRL Questionnaire,arXiv,,,,,,,,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
20,020_04,How Students Use AI Feedback Matters: Experimental Evidence on Physics Achievement and Autonomy,2025.0,Xusheng Dai; Zhaochun Wen; Jianxiao Jiang; Huiqin Liu; Yu Zhang,Physics Achievement - Top Third Subgroup,cognitive,apply,87.0,88.0,,,,,0.3764,,,,0.378,,,0.05,,from_cohens_d,table_ocr,,,,,post-test,Physics Exam,arXiv,,,,,,,,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
20,020_05,How Students Use AI Feedback Matters: Experimental Evidence on Physics Achievement and Autonomy,2025.0,Xusheng Dai; Zhaochun Wen; Jianxiao Jiang; Huiqin Liu; Yu Zhang,Learner Autonomy - Whole Sample,affective,,87.0,88.0,,,,,-0.2728,,,,-0.274,,,0.05,,from_cohens_d,table_ocr,,,,,post-test,Learner Autonomy Questionnaire,arXiv,,,,,,,,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
20,020_06,How Students Use AI Feedback Matters: Experimental Evidence on Physics Achievement and Autonomy,2025.0,Xusheng Dai; Zhaochun Wen; Jianxiao Jiang; Huiqin Liu; Yu Zhang,Learner Autonomy - Bottom Third Subgroup,affective,,87.0,88.0,,,,,-0.3913,,,,-0.393,,,0.05,,from_cohens_d,table_ocr,,,,,post-test,Learner Autonomy Questionnaire,arXiv,,,,,,,,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
20,020_07,How Students Use AI Feedback Matters: Experimental Evidence on Physics Achievement and Autonomy,2025.0,Xusheng Dai; Zhaochun Wen; Jianxiao Jiang; Huiqin Liu; Yu Zhang,Autonomy Technical-Psychological Dimension - Whole Sample,affective,,87.0,88.0,,,,,-0.2977,,,,-0.299,,,0.05,,from_cohens_d,table_ocr,,,,,post-test,Learner Autonomy Questionnaire,arXiv,,,,,,,,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
20,020_08,How Students Use AI Feedback Matters: Experimental Evidence on Physics Achievement and Autonomy,2025.0,Xusheng Dai; Zhaochun Wen; Jianxiao Jiang; Huiqin Liu; Yu Zhang,Autonomy Technical-Psychological Dimension - Bottom Third Subgroup,affective,,87.0,88.0,,,,,-0.5466,,,,-0.549,,,0.05,,from_cohens_d,table_ocr,,,,,post-test,Learner Autonomy Questionnaire,arXiv,,,,,,,,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
21,021_01,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,learning performance,cognitive,create,21.0,15.0,85.0,4.243,68.67,3.055,4.2029,0.5997,3.0275,5.3783,4.2984,5.61,,0.002,,calculated_M_SD,,positive,extreme_value,,,post-test,cultural product creation assessment,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
21,021_02,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,learning performance - novelty,cognitive,create,21.0,15.0,27.0,2.16,20.0,0.0,4.131510989305382,0.5927566776806783,2.969707901051253,5.293314077559511,4.22540896633505,5.477,,0.003,,calculated_M_SD,calculated_from_table,positive,,,,post-test,cultural product novelty assessment,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
21,021_03,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,learning performance - fluency,cognitive,create,21.0,15.0,35.0,1.826,27.33,1.528,4.3867,0.6177,3.176,5.5974,4.4864,5.861,,0.002,,calculated_M_SD,,positive,extreme_value,,,post-test,cultural product fluency assessment,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
21,021_04,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,learning performance - originality,cognitive,create,21.0,15.0,23.0,0.816,21.33,1.528,1.4038,0.3764,0.6661,2.1415,1.4357,1.89,,0.117,,calculated_M_SD,,,,,,post-test,cultural product originality assessment,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
21,021_05,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,AI awareness,metacognitive,,21.0,15.0,34.33,2.65,32.47,1.6,0.7987,0.3509,0.1109,1.4865,0.8168,7.491,,0.000,,calculated_M_SD,,positive,,,,post-test,AI awareness scale,Semantic Scholar,0.87,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
21,021_06,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,AI awareness - perceived comfort,affective,,21.0,15.0,18.0,1.2,15.47,0.9,2.2767,0.4316,1.4308,3.1227,2.3285,6.607,,0.00,,calculated_M_SD,,positive,,,,post-test,AI awareness scale - perceived comfort subscale,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
21,021_07,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,AI awareness - attitude,affective,,21.0,15.0,18.57,1.6,16.47,0.91,1.5109,0.3821,0.762,2.2598,1.5453,4.865,,0.00,,calculated_M_SD,,positive,,,,post-test,AI awareness scale - attitude subscale,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
21,021_08,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking,cognitive,evaluate,21.0,15.0,113.7,7.8,123.7,9.881,-1.1217,0.363,-1.8331,-0.4102,-1.1472,-3.386,,0.002,,calculated_M_SD,,negative,,,,post-test,critical thinking questionnaire,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
21,021_09,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking - truth seeking,cognitive,evaluate,21.0,15.0,12.29,0.9,14.0,1.2,-1.6168,0.3881,-2.3774,-0.8562,-1.6536,-4.779,,0.000,,calculated_M_SD,,negative,,,,post-test,critical thinking questionnaire - truth seeking subscale,Semantic Scholar,0.83,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
21,021_10,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking - analyticity,cognitive,analyze,21.0,15.0,12.52,0.98,14.0,1.1,-1.4035,0.3764,-2.1411,-0.6658,-1.4354,-4.172,,0.000,,calculated_M_SD,,negative,,,,post-test,critical thinking questionnaire - analyticity subscale,Semantic Scholar,0.632,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
21,021_11,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking - systematicity,cognitive,evaluate,21.0,15.0,30.81,2.8,32.53,4.7,-0.4542,0.3423,-1.1251,0.2166,-0.4646,-1.266,,0.219,,calculated_M_SD,,,,,,post-test,critical thinking questionnaire - systematicity subscale,Semantic Scholar,0.836,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
21,021_12,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking - inquisitiveness,cognitive,evaluate,21.0,15.0,27.9,3.0,30.87,2.5,-1.0353,0.3594,-1.7398,-0.3309,-1.0588,-3.123,,0.004,,calculated_M_SD,,negative,,,,post-test,critical thinking questionnaire - inquisitiveness subscale,Semantic Scholar,0.826,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
21,021_13,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking - open-mindedness,cognitive,evaluate,21.0,15.0,30.19,2.7,32.33,2.2,-0.8349,0.3521,-1.525,-0.1448,-0.8539,-2.455,,0.019,,calculated_M_SD,,negative,,,,post-test,critical thinking questionnaire - open-mindedness subscale,Semantic Scholar,0.887,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
21,021_14,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025.0,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,cognitive load,metacognitive,,21.0,15.0,,,,,,,,,,,,,,insufficient_data,,positive,,,,post-test,nine-point cognitive load scale,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
22,022_01,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Schoolwide,cognitive,apply,,,12.6,11.8,7.9,12.7,,,,,0.4,,,0.01,,,table_ocr,,,,,gain_score,Math Quiz,OpenAlex,,,,,,,,,,,,,MANUAL_VERIFIED,100.0,1,manual_pdf_review
22,022_02,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Elementary,cognitive,apply,,,13.6,11.1,7.3,12.0,,,,,0.6,,,0.01,,,table_ocr,,,,,gain_score,Math Quiz,OpenAlex,,,,,,,,,,,,,MANUAL_VERIFIED,100.0,1,manual_pdf_review
22,022_03,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - High School,cognitive,apply,,,11.6,12.5,8.5,13.5,,,,,0.2,,,0.14,,,table_ocr,,,,,gain_score,Math Quiz,OpenAlex,,,,,,,,,,,,,MANUAL_VERIFIED,100.0,1,manual_pdf_review
22,022_04,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 1,cognitive,apply,,,16.9,12.0,9.0,6.3,,,,,0.7,,,0.06,,,table_ocr,,,,,gain_score,Math Quiz,OpenAlex,,,,,,,,,,,,,MANUAL_VERIFIED,100.0,1,manual_pdf_review
22,022_05,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 4,cognitive,apply,,,15.6,11.0,5.8,13.7,,,,,0.9,,,0.06,,,table_ocr,,,,,gain_score,Math Quiz,OpenAlex,,,,,,,,,,,,,MANUAL_VERIFIED,100.0,1,manual_pdf_review
22,022_06,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 5,cognitive,apply,,,10.7,11.5,8.7,11.3,,,,,0.2,,,0.33,,,table_ocr,,,,,gain_score,Math Quiz,OpenAlex,,,,,,,,,,,,,MANUAL_VERIFIED,100.0,1,manual_pdf_review
22,022_07,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 6,cognitive,apply,,,11.2,11.1,1.0,11.2,,,,,0.9,,,0.05,,,table_ocr,,,,,gain_score,Math Quiz,OpenAlex,,,,,,,,,,,,,MANUAL_VERIFIED,100.0,1,manual_pdf_review
22,022_08,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025.0,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 7,cognitive,apply,,,7.5,14.3,13.0,13.6,,,,,0.4,,,0.23,,,table_ocr,,,,,gain_score,Math Quiz,OpenAlex,,,,,,,,,,,,,MANUAL_VERIFIED,100.0,1,manual_pdf_review
