Study_ID,ES_ID,Outcome_Name,Hedges_g,SE_g,n_Treatment,n_Control,ES_Type,Conversion_Method,Hedges_g_Calc,g_Diff,g_Discrepancy
36,036_03,Independent and Persistent,0.0991,0.2723,27.0,27.0,Post_Only_Assumed,Calculated_from_MSD,0.09909266263768113,7.3373623188655035e-06,False
36,036_04,Self-Regulation,0.4389,0.2754,27.0,27.0,Post_Only_Assumed,Calculated_from_MSD,0.4388787006827891,2.1299317210898838e-05,False
36,036_05,Complex Programming Tasks,0.1952,0.2728,27.0,27.0,Post_Only_Assumed,Calculated_from_MSD,0.19520594876358724,-5.948763587226846e-06,False
36,036_06,Independent and Persistent,0.301,0.2737,27.0,27.0,Post_Only_Assumed,Calculated_from_MSD,0.30103296631026333,-3.296631026333818e-05,False
36,036_07,Self-Regulation,0.7495,0.2816,27.0,27.0,Post_Only_Assumed,Calculated_from_MSD,0.7494663892077996,3.3610792200433615e-05,False
36,036_08,Complex Programming Tasks,0.6945,0.2803,27.0,27.0,Post_Only_Assumed,Calculated_from_MSD,0.6945400240114539,-4.002401145386525e-05,False
37,037_01,compassion ratings,0.7248,,54.0,54.0,Post_Only_Assumed,Direct_Reported,1.0320977967990244,-0.30729779679902436,True
37,037_02,response preference,0.6752,,54.0,54.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
37,037_03,compassion ratings,0.799354543453101,0.1047050952060379,197.0,197.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
37,037_04,compassion ratings,0.9901,0.0953,247.0,247.0,Post_Only_Assumed,Calculated_from_MSD,0.9900627107418746,3.7289258125405844e-05,False
37,037_05,response preference,1.0169,,126.0,126.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
37,037_06,response preference,0.4685,,121.0,121.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
37,037_07,compassion ratings,1.0128,0.1972,58.0,58.0,Post_Only_Assumed,Calculated_from_MSD,1.0128368692564722,-3.6869256472282785e-05,False
37,037_08,response preference,0.7053,,58.0,58.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
37,037_09,understanding,,,58.0,58.0,Post_Only_Assumed,Missing_ES,,,False
37,037_10,validation,,,58.0,58.0,Post_Only_Assumed,Missing_ES,,,False
37,037_11,caring,,,58.0,58.0,Post_Only_Assumed,Missing_ES,,,False
38,038_01,,,,,,Unknown,Missing_ES,,,False
40,040_01,Overall Writing Quality,,,100.0,100.0,Post_Only_Assumed,Missing_ES,,,False
40,040_02,Overall Writing Quality,,,100.0,100.0,Post_Only_Assumed,Missing_ES,,,False
40,040_03,Overall Engagement Level 5/30,,,100.0,100.0,Post_Only_Assumed,Missing_ES,,,False
40,040_04,Overall Engagement Level 5/23,,,100.0,100.0,Post_Only_Assumed,Missing_ES,,,False
40,040_05,Grammar & Syntax,0.3815,,100.0,100.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
40,040_06,Organization & Coherence,0.4074,,100.0,100.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
40,040_07,Vocabulary Usage,0.3208,,100.0,100.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
40,040_08,Argumentation,0.0767,,100.0,100.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
40,040_09,Mechanics,0.4812,,100.0,100.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
40,040_10,Overall Writing Performance Score,0.7561,,100.0,100.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
40,040_11,Grammar & Syntax,0.2451,,100.0,100.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
40,040_12,Organization & Coherence,0.2849,,100.0,100.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
40,040_13,Vocabulary Usage,0.1664,,100.0,100.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
40,040_14,Argumentation,0.1594,,100.0,100.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
40,040_15,Mechanics,0.3118,,100.0,100.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
40,040_16,Overall Writing Performance Score,0.4612,,100.0,100.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
40,040_17,Total Writing Performance Score,9.8698,1.1479,20.0,20.0,Post_Only_Assumed,Calculated_from_MSD,9.86981481386494,-1.4813864940066424e-05,False
41,041_01,Task quality,1.186,0.2425,40.0,40.0,Post_Only_Assumed,Calculated_from_MSD,1.1860259005526004,-2.5900552600433002e-05,False
41,041_02,Task quality,0.4275,0.2766,20.0,40.0,Post_Only_Assumed,Calculated_from_MSD,0.42750754429890775,-7.544298907757874e-06,False
41,041_03,Task time,-3.0329,0.3279,40.0,40.0,Post_Only_Assumed,Calculated_from_MSD,-3.0328663469929453,-3.365300705482355e-05,False
41,041_04,Task time,-1.9561,0.3269,20.0,40.0,Post_Only_Assumed,Calculated_from_MSD,-1.9560757132923736,-2.4286707626330895e-05,False
41,041_05,Cognitive diversity,0.1775,0.224,40.0,40.0,Post_Only_Assumed,Calculated_from_MSD,0.17747518001604473,2.481998395525986e-05,False
41,041_06,Cognitive diversity,-1.2649,0.2972,20.0,40.0,Post_Only_Assumed,Calculated_from_MSD,-1.2649064213019254,6.421301925518819e-06,False
42,042_01,D-scores (difference between response scores with and without feedback),1.1414,,11.0,10.0,Change_Score,Calculated_from_MSD,1.1407827875936167,0.0006172124063832385,False
42,042_02,Q1 - With vs Without ChatGPT feedback,0.1168,0.4268,11.0,11.0,Post_Only_Assumed,Calculated_from_MSD,0.11680627714014886,-6.2771401488637135e-06,False
42,042_03,Q2 - With vs Without ChatGPT feedback,0.8744,,10.0,10.0,Post_Only_Assumed,Calculated_from_MSD,0.8744558857920008,-5.588579200088706e-05,False
42,042_04,Q3 - With vs Without ChatGPT feedback,1.8202,,11.0,11.0,Post_Only_Assumed,Calculated_from_MSD,1.8202997032210881,-9.970322108809881e-05,False
42,042_05,Q4 - With vs Without ChatGPT feedback,0.4741,,10.0,10.0,Post_Only_Assumed,Calculated_from_MSD,0.47444337770842515,-0.00034337770842512993,False
43,043_01,knowledge activation,1.7867,0.4319,15.0,15.0,Post_Only_Assumed,Calculated_from_MSD,1.786728547529685,-2.8547529685063466e-05,False
43,043_02,online collaborative learning performance,1.7385,0.4286,15.0,15.0,Post_Only_Assumed,Calculated_from_MSD,1.7384531244528694,4.6875547130564854e-05,False
43,043_03,critical thinking,1.9805,0.4458,15.0,15.0,Post_Only_Assumed,Calculated_from_MSD,1.9805370997827934,-3.709978279342607e-05,False
44,044_01,mathematical problem-solving abilities,-1.8557,0.5368,9.0,11.0,Post_Only_Assumed,Calculated_from_MSD,-1.8557030039295608,3.003929560874141e-06,False
44,044_02,mathematical problem-solving abilities,0.7524,0.4649,9.0,11.0,Post_Only_Assumed,Calculated_from_MSD,0.7523663641930048,3.3635806995113704e-05,False
44,044_03,attitudes toward using ChatGPT for learning mathematics,,,,,Post_Only_Assumed,Missing_ES,,,False
45,045_01,Arabic Writing Comprehension,,,,,Post_Only_Assumed,Missing_ES,,,False
46,046_01,Intrinsic motivation,1.0273,0.2725,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,1.0273460381231272,-4.60381231270901e-05,False
46,046_02,Identified regulation,0.4192,0.2589,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,0.4191576577771438,4.234222285620648e-05,False
46,046_03,External regulation,0.4105,0.2588,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,0.4105462626989867,-4.6262698986720974e-05,False
46,046_04,Amotivation,-1.2548,0.2802,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,-1.2548359441976464,3.594419764652024e-05,False
46,046_05,Cognitive engagement,2.6453,0.3506,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,2.645303612876983,-3.6128769829169016e-06,False
46,046_06,Behavioral engagement,1.7365,0.3005,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,1.7364789870835957,2.1012916404217208e-05,False
46,046_07,Emotional engagement,0.502,0.2601,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,0.5020021678655658,-2.1678655658385892e-06,False
46,046_08,Self-efficacy,1.3229,0.2827,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,1.322879620671538,2.0379328461883617e-05,False
46,046_09,Critical thinking,1.6464,0.2963,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,1.6463616343963128,3.8365603687307015e-05,False
46,046_10,Problem-solving,1.3922,0.2854,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,1.3921644170853071,3.558291469296648e-05,False
46,046_11,Creativity,0.7882,0.2659,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,0.7881937872410046,6.212758995371992e-06,False
46,046_12,Chemistry knowledge,0.6413,0.2626,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,0.6413499408908907,-4.9940890890720624e-05,False
46,046_13,Chemistry knowledge,0.9796,0.271,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,0.9796038333413462,-3.833341346126673e-06,False
47,047_01,Number Base Conversion Performance,1.3212,0.1197,170.0,170.0,Post_Only_Assumed,Calculated_from_MSD,1.321241831448401,-4.183144840097519e-05,False
47,047_02,Number Base Conversion Performance,0.0572,0.1085,170.0,170.0,Post_Only_Assumed,Calculated_from_MSD,0.057239281494431124,-3.9281494431123165e-05,False
48,048_01,essay writing quality,0.2010117055207995,0.068425837110752,342.0,576.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
48,048_02,emotion,0.2754,0.0686,342.0,576.0,Post_Only_Assumed,Calculated_from_MSD,0.2754129093506589,-1.2909350658896201e-05,False
48,048_03,motivation,0.6225,0.0698,342.0,576.0,Post_Only_Assumed,Calculated_from_MSD,0.6225452502897924,-4.525028979229795e-05,False
48,048_04,engagement,0.3126,0.0687,342.0,576.0,Post_Only_Assumed,Calculated_from_MSD,0.31262971418418317,-2.9714184183182724e-05,False
49,049_01,writing proficiency,0.7923,,40.0,40.0,Post_Only_Assumed,Direct_Reported,1.204135780501649,-0.41183578050164904,True
49,049_02,student satisfaction with feedback,,,40.0,40.0,Post_Only_Assumed,Missing_ES,,,False
50,050_01,Baseline SDLS Score,,,50.0,51.0,Pre_Test_Remove,Missing_ES,,,False
50,050_02,Baseline CCTS Score,,,50.0,51.0,Pre_Test_Remove,Missing_ES,,,False
50,050_03,Baseline GFS Score,,,50.0,51.0,Pre_Test_Remove,Missing_ES,,,False
50,050_04,SDLS Score 6 weeks,,,50.0,51.0,Post_Only_Assumed,Missing_ES,,,False
50,050_05,SDLS Score 12 weeks,,,50.0,51.0,Post_Only_Assumed,Missing_ES,,,False
50,050_06,SDLS Score 14 weeks,,,50.0,51.0,Post_Only_Assumed,Missing_ES,,,False
50,050_07,CCTS Score 6 weeks,,,50.0,51.0,Post_Only_Assumed,Missing_ES,,,False
50,050_08,CCTS Score 12 weeks,,,50.0,51.0,Post_Only_Assumed,Missing_ES,,,False
50,050_09,CCTS Score 14 weeks,,,50.0,51.0,Post_Only_Assumed,Missing_ES,,,False
50,050_10,GFS Score 6 weeks,,,50.0,51.0,Post_Only_Assumed,Missing_ES,,,False
50,050_11,GFS Score 12 weeks,,,50.0,51.0,Post_Only_Assumed,Missing_ES,,,False
51,051_01,Affective feedback quality,-0.1048,0.1171,146.0,146.0,Post_Only_Assumed,Calculated_from_MSD,-0.1048455756512767,4.557565127669139e-05,False
51,051_02,Cognitive-Descriptive feedback quality,-0.4377578144931627,0.1184346526957404,146.0,146.0,Post_Only_Assumed,Calculated_from_MSD,-0.43775781449316276,5.551115123125783e-17,False
51,051_03,Cognitive-Identification feedback quality,0.3797,0.1181,146.0,146.0,Post_Only_Assumed,Calculated_from_MSD,0.3796872885470857,1.2711452914260235e-05,False
51,051_04,Cognitive-Justification feedback quality,0.1153,0.1171,146.0,146.0,Post_Only_Assumed,Calculated_from_MSD,0.11533949298182833,-3.9492981828329055e-05,False
51,051_05,Constructive feedback quality,-0.1213,0.1171,146.0,146.0,Post_Only_Assumed,Calculated_from_MSD,-0.12131124228959482,1.1242289594814991e-05,False
52,052_01,Task Score,,,,,Post_Only_Assumed,Missing_ES,,,False
52,052_02,Revision Score,,,,,Post_Only_Assumed,Missing_ES,,,False
52,052_03,Difference Score,,,,,Change_Score,Missing_ES,,,False
52,052_04,Emotion,,,,,Post_Only_Assumed,Missing_ES,,,False
52,052_05,Motivation,,,,,Post_Only_Assumed,Missing_ES,,,False
52,052_06,Engagement,,,,,Post_Only_Assumed,Missing_ES,,,False
53,053_01,Average assignment score,1.444,,32.0,31.0,Post_Only_Assumed,Calculated_from_MSD,1.4438835103780476,0.00011648962195232038,False
53,053_02,Motivation,0.5883,0.2574,32.0,31.0,Post_Only_Assumed,Calculated_from_MSD,0.5883215086854301,-2.1508685430049468e-05,False
53,053_03,SRL strategy,0.6174,0.2579,32.0,31.0,Post_Only_Assumed,Calculated_from_MSD,0.6173885597960522,1.1440203947721272e-05,False
53,053_04,Academic performance,0.7274,0.2602,32.0,31.0,Post_Only_Assumed,Calculated_from_MSD,0.7273891333089616,1.0866691038446952e-05,False
54,054_01,Academic Writing Skills - Post-test,2.1862,0.298,37.0,35.0,Post_Only,Calculated_from_MSD,2.1861718043041143,2.819569588563553e-05,False
54,054_02,Academic Writing Skills - Delayed Post-test,2.1862,0.298,37.0,35.0,Post_Only,Calculated_from_MSD,2.1861718043041143,2.819569588563553e-05,False
55,055_01,knowing sub-skill,2.2249,0.2405,55.0,57.0,Post_Only_Assumed,Calculated_from_MSD,2.2249193825442872,-1.9382544287349646e-05,False
55,055_02,applying sub-skill,2.5589,0.2549,55.0,57.0,Post_Only_Assumed,Calculated_from_MSD,2.5588834269846945,1.6573015305443306e-05,False
55,055_03,reasoning sub-skill,1.7071,0.2208,55.0,57.0,Post_Only_Assumed,Calculated_from_MSD,1.7070733961100497,2.660388995034957e-05,False
55,055_04,overall achievement,1.1301,0.2035,55.0,57.0,Post_Only_Assumed,Calculated_from_MSD,1.130072989628104,2.7010371896007968e-05,False
55,055_05,engagement,,,55.0,,Post_Only_Assumed,Missing_ES,,,False
55,055_06,comprehension,,,55.0,,Post_Only_Assumed,Missing_ES,,,False
55,055_07,problem-solving skills,,,55.0,,Post_Only_Assumed,Missing_ES,,,False
55,055_08,perceived relevance,,,55.0,,Post_Only_Assumed,Missing_ES,,,False
56,056_01,Word Count per Example,2.5218,0.1992,89.0,92.0,Post_Only_Assumed,Calculated_from_MSD,2.521801320157992,-1.3201579922572648e-06,False
56,056_02,Word Count per Example - Gen-Story,5.1694,0.308,91.0,92.0,Post_Only_Assumed,Calculated_from_MSD,5.16942075652028,-2.0756520279441304e-05,False
56,056_03,Engagement Time (seconds/example),1.1421,0.1603,89.0,92.0,Post_Only_Assumed,Calculated_from_MSD,1.1421203638724913,-2.0363872491380164e-05,False
56,056_04,Engagement Time (seconds/example) - Gen-Story,1.4729,0.1667,91.0,92.0,Post_Only_Assumed,Calculated_from_MSD,1.472862336159363,3.766384063719208e-05,False
56,056_05,Flesch-Kincaid Reading Ease,-1.4464,0.167,89.0,92.0,Post_Only_Assumed,Calculated_from_MSD,-1.4463752315414449,-2.4768458555035622e-05,False
56,056_06,Flesch-Kincaid Reading Ease - Gen-Story,0.8908,0.155,91.0,92.0,Post_Only_Assumed,Calculated_from_MSD,0.8908412096639285,-4.1209663928509777e-05,False
57,057_01,,,,,,Unknown,Missing_ES,,,False
58,058_01,,,,,,Unknown,Missing_ES,,,False
59,059_01,Ethical standards,,,52.0,47.0,Post_Only_Assumed,Missing_ES,,,False
59,059_02,Nursing processes,,,52.0,47.0,Post_Only_Assumed,Missing_ES,,,False
59,059_03,Knowledge of professional standards,,,52.0,47.0,Post_Only_Assumed,Missing_ES,,,False
59,059_04,Understanding of ethical concepts,,,52.0,47.0,Post_Only_Assumed,Missing_ES,,,False
59,059_05,Communication of professional and ethical standards,,,52.0,47.0,Post_Only_Assumed,Missing_ES,,,False
59,059_06,Analysis of challenges and barriers,,,52.0,47.0,Post_Only_Assumed,Missing_ES,,,False
59,059_07,Application of ethical principles,,,52.0,47.0,Post_Only_Assumed,Missing_ES,,,False
59,059_08,Application of nursing processes,,,52.0,47.0,Post_Only_Assumed,Missing_ES,,,False
59,059_09,Critical thinking skills,,,52.0,47.0,Post_Only_Assumed,Missing_ES,,,False
59,059_10,Integration of evidence-based knowledge and clinical reasoning,,,52.0,47.0,Post_Only_Assumed,Missing_ES,,,False
59,059_11,Collaboration and teamwork,,,52.0,47.0,Post_Only_Assumed,Missing_ES,,,False
59,059_12,Reflection and improvement,,,52.0,47.0,Change_Score,Missing_ES,,,False
60,060_01,Academic Writing Pre-test,-0.2624,0.2841,25.0,25.0,Pre_Test_Remove,Calculated_from_MSD,-0.2623703364918928,-2.966350810723606e-05,False
60,060_02,Academic Writing Post-test,0.7724,0.2932,25.0,25.0,Post_Only,Calculated_from_MSD,0.7724051742627425,-5.174262742491109e-06,False
62,062_01,,,,,,Unknown,Missing_ES,,,False
63,063_01,knowledge examination,0.5161,0.2317,39.0,38.0,Post_Only_Assumed,Calculated_from_MSD,0.5161492542466032,-4.9254246603180896e-05,False
64,064_01,student learning outcomes in technology learning,1.6082,0.2922,31.0,31.0,Post_Only_Assumed,Calculated_from_MSD,1.608196447594127,3.5524058730196373e-06,False
64,064_02,student engagement in technology learning,,,31.0,31.0,Post_Only_Assumed,Missing_ES,,,False
65,065_01,recommender score,,,5.0,5.0,Post_Only_Assumed,Missing_ES,,,False
66,066_01,Ask Probing Questions,,,,,Post_Only_Assumed,Missing_ES,,,False
66,066_02,Analyze/Make Logical Conclusions,,,,,Post_Only_Assumed,Missing_ES,,,False
66,066_03,Understand Complex Concepts,,,,,Post_Only_Assumed,Missing_ES,,,False
66,066_04,Provide Diverse Perspectives,,,,,Post_Only_Assumed,Missing_ES,,,False
66,066_05,Recommend ChatGPT for Future Use,,,,,Post_Only_Assumed,Missing_ES,,,False
67,067_01,G2 Fluency,,,,,Post_Only_Assumed,Missing_ES,,,False
67,067_02,G2 Flexibility,,,,,Post_Only_Assumed,Missing_ES,,,False
67,067_03,G2 Narrative Originality,,,,,Post_Only_Assumed,Missing_ES,,,False
67,067_04,G3 Fluency,,,,,Post_Only_Assumed,Missing_ES,,,False
67,067_05,G3 Flexibility,,,,,Post_Only_Assumed,Missing_ES,,,False
67,067_06,G3 Narrative Originality,,,,,Post_Only_Assumed,Missing_ES,,,False
67,067_07,G2 Fluency,,,,,Post_Only_Assumed,Missing_ES,,,False
67,067_08,G2 Flexibility,,,,,Post_Only_Assumed,Missing_ES,,,False
67,067_09,G2 Narrative Originality,,,,,Post_Only_Assumed,Missing_ES,,,False
67,067_10,G3 Fluency,,,,,Post_Only_Assumed,Missing_ES,,,False
67,067_11,G3 Flexibility,,,,,Post_Only_Assumed,Missing_ES,,,False
67,067_12,G3 Narrative Originality,,,,,Post_Only_Assumed,Missing_ES,,,False
68,068_01,,,,,,Unknown,Missing_ES,,,False
69,069_01,programming skills,0.4713,0.2358,38.0,36.0,Post_Only_Assumed,Calculated_from_MSD,0.47130604345710864,-6.043457108639849e-06,False
70,070_01,Computational Thinking,1.09,0.32,21.0,24.0,Post_Only_Assumed,Direct_Reported,1.104003995716277,-0.014003995716276973,False
70,070_02,Programming Self-Efficacy,1.11,0.32,21.0,24.0,Post_Only_Assumed,Calculated_from_MSD,1.1167887044363403,-0.006788704436340165,False
70,070_03,Learning Motivation,0.97,0.31,21.0,24.0,Post_Only_Assumed,Calculated_from_MSD,0.9783022767357423,-0.008302276735742353,False
