study_id,outcome_id,title,year,authors,outcome_name,outcome_dimension,blooms_level,n_treatment,n_control,m_treatment,sd_treatment,m_control,sd_control,hedges_g,se_g,ci_lower,ci_upper,cohens_d,t_value,f_value,p_value,eta_squared,study_design,genai_tool,source,doi,age_mean_control,age_mean_treatment,age_sd_control,age_sd_treatment,baseline_age_p,baseline_age_t,baseline_gender_chi2,baseline_gender_p,baseline_gpa_p,baseline_gpa_t,extraction_confidence,gender_female_n_control,gender_female_n_treatment,gender_male_n_control,gender_male_n_treatment,gpa_mean_control,gpa_mean_treatment,gpa_sd_control,gpa_sd_treatment,grade_level_control,grade_level_treatment,group_label_control,group_label_treatment,notes,program_type_control,program_type_treatment
21,021_07,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,AI awareness - attitude,affective,understand,21,15,18.57,1.6,16.47,0.91,1.5109,0.3821,0.762,2.2598,1.5453,4.865,NA,0,NA,quasi-experimental,not_reported,Semantic Scholar,10.1109/TLT.2025.3554584,,,,,,,,,,,medium,,,,,,,,,,,NCCL,CCL,"Study mentions 36 students (mean age: 19.97 years) overall but no baseline demographics table found. Sample sizes from Table II: CCL n=21, NCCL n=15. Groups formed after icebreaker activity with 21 males and 19 females total.",,
21,021_08,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking,cognitive,evaluate,21,15,113.7,7.8,123.7,9.881,-1.1217,0.363,-1.8331,-0.4102,-1.1472,-3.386,NA,0.002,NA,quasi-experimental,not_reported,Semantic Scholar,10.1109/TLT.2025.3554584,,,,,,,,,,,medium,,,,,,,,,,,NCCL,CCL,"Study mentions 36 students (mean age: 19.97 years) overall but no baseline demographics table found. Sample sizes from Table II: CCL n=21, NCCL n=15. Groups formed after icebreaker activity with 21 males and 19 females total.",,
21,021_09,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking - truth seeking,cognitive,evaluate,21,15,12.29,0.9,14,1.2,-1.6168,0.3881,-2.3774,-0.8562,-1.6536,-4.779,NA,0,NA,quasi-experimental,not_reported,Semantic Scholar,10.1109/TLT.2025.3554584,,,,,,,,,,,medium,,,,,,,,,,,NCCL,CCL,"Study mentions 36 students (mean age: 19.97 years) overall but no baseline demographics table found. Sample sizes from Table II: CCL n=21, NCCL n=15. Groups formed after icebreaker activity with 21 males and 19 females total.",,
21,021_10,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking - analyticity,cognitive,analyze,21,15,12.52,0.98,14,1.1,-1.4035,0.3764,-2.1411,-0.6658,-1.4354,-4.172,NA,0,NA,quasi-experimental,not_reported,Semantic Scholar,10.1109/TLT.2025.3554584,,,,,,,,,,,medium,,,,,,,,,,,NCCL,CCL,"Study mentions 36 students (mean age: 19.97 years) overall but no baseline demographics table found. Sample sizes from Table II: CCL n=21, NCCL n=15. Groups formed after icebreaker activity with 21 males and 19 females total.",,
21,021_11,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking - systematicity,cognitive,evaluate,21,15,30.81,2.8,32.53,4.7,-0.4542,0.3423,-1.1251,0.2166,-0.4646,-1.266,NA,0.219,NA,quasi-experimental,not_reported,Semantic Scholar,10.1109/TLT.2025.3554584,,,,,,,,,,,medium,,,,,,,,,,,NCCL,CCL,"Study mentions 36 students (mean age: 19.97 years) overall but no baseline demographics table found. Sample sizes from Table II: CCL n=21, NCCL n=15. Groups formed after icebreaker activity with 21 males and 19 females total.",,
21,021_12,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking - inquisitiveness,cognitive,evaluate,21,15,27.9,3,30.87,2.5,-1.0353,0.3594,-1.7398,-0.3309,-1.0588,-3.123,NA,0.004,NA,quasi-experimental,not_reported,Semantic Scholar,10.1109/TLT.2025.3554584,,,,,,,,,,,medium,,,,,,,,,,,NCCL,CCL,"Study mentions 36 students (mean age: 19.97 years) overall but no baseline demographics table found. Sample sizes from Table II: CCL n=21, NCCL n=15. Groups formed after icebreaker activity with 21 males and 19 females total.",,
21,021_13,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,critical thinking - open-mindedness,cognitive,evaluate,21,15,30.19,2.7,32.33,2.2,-0.8349,0.3521,-1.525,-0.1448,-0.8539,-2.455,NA,0.019,NA,quasi-experimental,not_reported,Semantic Scholar,10.1109/TLT.2025.3554584,,,,,,,,,,,medium,,,,,,,,,,,NCCL,CCL,"Study mentions 36 students (mean age: 19.97 years) overall but no baseline demographics table found. Sample sizes from Table II: CCL n=21, NCCL n=15. Groups formed after icebreaker activity with 21 males and 19 females total.",,
21,021_14,"Human–Machine Cocreation: The Effects of ChatGPT on Students’ Learning Performance, AI Awareness, Critical Thinking, and Cognitive Load in a STEM Course Toward Entrepreneurship",2025,Yu Ji; Zehui Zhan; Tingting Li; Xuanxuan Zou; Siyuan Lyu,cognitive load,metacognitive,not_reported,21,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,quasi-experimental,ChatGPT,Semantic Scholar,10.1109/TLT.2025.3554584,,,,,,,,,,,medium,,,,,,,,,,,NCCL,CCL,"Study mentions 36 students (mean age: 19.97 years) overall but no baseline demographics table found. Sample sizes from Table II: CCL n=21, NCCL n=15. Groups formed after icebreaker activity with 21 males and 19 females total.",,
22,022_01,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Schoolwide,cognitive,apply,80,90,12.6,11.8,7.9,12.7,NA,NA,NA,NA,0.4,NA,NA,0.01,NA,RCT,not_reported,OpenAlex,10.21203/rs.3.rs-7110559/v1,,,,,,,,,,,medium,,,,,,,,,Grades 1-10,Grades 1-10,R/W,AI,Group R/W had 90 students with 747 sets of three quiz scores. Group AI had 80 students with 601 sets of three quiz scores. Study involved Grades 1-10 students from private school in Philippines. No baseline demographics table found.,,
22,022_02,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Elementary,cognitive,apply,80,90,13.6,11.1,7.3,12,NA,NA,NA,NA,0.6,NA,NA,0.01,NA,RCT,not_reported,OpenAlex,10.21203/rs.3.rs-7110559/v1,,,,,,,,,,,medium,,,,,,,,,Grades 1-10,Grades 1-10,R/W,AI,Group R/W had 90 students with 747 sets of three quiz scores. Group AI had 80 students with 601 sets of three quiz scores. Study involved Grades 1-10 students from private school in Philippines. No baseline demographics table found.,,
22,022_03,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - High School,cognitive,apply,80,90,11.6,12.5,8.5,13.5,NA,NA,NA,NA,0.2,NA,NA,0.14,NA,RCT,not_reported,OpenAlex,10.21203/rs.3.rs-7110559/v1,,,,,,,,,,,medium,,,,,,,,,Grades 1-10,Grades 1-10,R/W,AI,Group R/W had 90 students with 747 sets of three quiz scores. Group AI had 80 students with 601 sets of three quiz scores. Study involved Grades 1-10 students from private school in Philippines. No baseline demographics table found.,,
22,022_04,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 1,cognitive,apply,80,90,16.9,12,9,6.3,NA,NA,NA,NA,0.7,NA,NA,0.06,NA,RCT,not_reported,OpenAlex,10.21203/rs.3.rs-7110559/v1,,,,,,,,,,,medium,,,,,,,,,Grades 1-10,Grades 1-10,R/W,AI,Group R/W had 90 students with 747 sets of three quiz scores. Group AI had 80 students with 601 sets of three quiz scores. Study involved Grades 1-10 students from private school in Philippines. No baseline demographics table found.,,
22,022_05,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 4,cognitive,apply,80,90,15.6,11,5.8,13.7,NA,NA,NA,NA,0.9,NA,NA,0.06,NA,RCT,not_reported,OpenAlex,10.21203/rs.3.rs-7110559/v1,,,,,,,,,,,medium,,,,,,,,,Grades 1-10,Grades 1-10,R/W,AI,Group R/W had 90 students with 747 sets of three quiz scores. Group AI had 80 students with 601 sets of three quiz scores. Study involved Grades 1-10 students from private school in Philippines. No baseline demographics table found.,,
22,022_06,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 5,cognitive,apply,80,90,10.7,11.5,8.7,11.3,NA,NA,NA,NA,0.2,NA,NA,0.33,NA,RCT,not_reported,OpenAlex,10.21203/rs.3.rs-7110559/v1,,,,,,,,,,,medium,,,,,,,,,Grades 1-10,Grades 1-10,R/W,AI,Group R/W had 90 students with 747 sets of three quiz scores. Group AI had 80 students with 601 sets of three quiz scores. Study involved Grades 1-10 students from private school in Philippines. No baseline demographics table found.,,
22,022_07,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 6,cognitive,apply,80,90,11.2,11.1,1,11.2,NA,NA,NA,NA,0.9,NA,NA,0.05,NA,RCT,not_reported,OpenAlex,10.21203/rs.3.rs-7110559/v1,,,,,,,,,,,medium,,,,,,,,,Grades 1-10,Grades 1-10,R/W,AI,Group R/W had 90 students with 747 sets of three quiz scores. Group AI had 80 students with 601 sets of three quiz scores. Study involved Grades 1-10 students from private school in Philippines. No baseline demographics table found.,,
22,022_08,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 7,cognitive,apply,80,90,7.5,14.3,13,13.6,NA,NA,NA,NA,0.4,NA,NA,0.23,NA,RCT,not_reported,OpenAlex,10.21203/rs.3.rs-7110559/v1,,,,,,,,,,,medium,,,,,,,,,Grades 1-10,Grades 1-10,R/W,AI,Group R/W had 90 students with 747 sets of three quiz scores. Group AI had 80 students with 601 sets of three quiz scores. Study involved Grades 1-10 students from private school in Philippines. No baseline demographics table found.,,
22,022_09,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 8,cognitive,apply,80,90,9.2,9.5,9.7,10.8,NA,NA,NA,NA,0.1,NA,NA,0.45,NA,RCT,not_reported,OpenAlex,10.21203/rs.3.rs-7110559/v1,,,,,,,,,,,medium,,,,,,,,,Grades 1-10,Grades 1-10,R/W,AI,Group R/W had 90 students with 747 sets of three quiz scores. Group AI had 80 students with 601 sets of three quiz scores. Study involved Grades 1-10 students from private school in Philippines. No baseline demographics table found.,,
22,022_10,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 9,cognitive,apply,80,90,10.8,11.3,-0.9,8.8,NA,NA,NA,NA,1,NA,NA,0,NA,RCT,not_reported,OpenAlex,10.21203/rs.3.rs-7110559/v1,,,,,,,,,,,medium,,,,,,,,,Grades 1-10,Grades 1-10,R/W,AI,Group R/W had 90 students with 747 sets of three quiz scores. Group AI had 80 students with 601 sets of three quiz scores. Study involved Grades 1-10 students from private school in Philippines. No baseline demographics table found.,,
22,022_11,Impact of Artificial Intelligence Generated Feedback on Math Quiz Scores,2025,Larissa I. Velez; Christian Alis; Christopher Monterola; Erika Fille Legara; David Stanley,Math Quiz Score Improvement - Grade 10,cognitive,apply,80,90,18,15.5,19.2,13.3,NA,NA,NA,NA,0.1,NA,NA,0.42,NA,RCT,not_reported,OpenAlex,10.21203/rs.3.rs-7110559/v1,,,,,,,,,,,medium,,,,,,,,,Grades 1-10,Grades 1-10,R/W,AI,Group R/W had 90 students with 747 sets of three quiz scores. Group AI had 80 students with 601 sets of three quiz scores. Study involved Grades 1-10 students from private school in Philippines. No baseline demographics table found.,,
23,023_01,Impact of Developer Queries on the Effectiveness of Conversational Large Language Models in Programming,2025,Viktor Taneski; Sašo Karakatič; Patrik Rek; Gregor Jošt,Feature Implementation (FI) Query Performance,cognitive,apply,32,5,0.65,3.819,1.97,4.815,-0.3273,0.4824,-1.2728,0.6181,-0.3346,NA,NA,0.328,NA,not_reported,not_reported,OpenAlex,10.3390/app15126836,,,,,,,,,,,low,,,,,,,,,,,,,"Total n=37 second-year undergraduate students mentioned in text, but no demographic/baseline characteristics table found in provided pages",,
23,023_02,Impact of Developer Queries on the Effectiveness of Conversational Large Language Models in Programming,2025,Viktor Taneski; Sašo Karakatič; Patrik Rek; Gregor Jošt,Best Practices (BP) Query Performance,cognitive,understand,4,33,1.438,2.075,0.755,4.1,0.1684,0.5298,-0.87,1.2069,0.1722,NA,NA,0.688,NA,not_reported,not_reported,OpenAlex,10.3390/app15126836,,,,,,,,,,,low,,,,,,,,,,,,,"Total n=37 second-year undergraduate students mentioned in text, but no demographic/baseline characteristics table found in provided pages",,
23,023_03,Impact of Developer Queries on the Effectiveness of Conversational Large Language Models in Programming,2025,Viktor Taneski; Sašo Karakatič; Patrik Rek; Gregor Jošt,Documentation (DOC) Query Performance,cognitive,understand,1,36,3.75,1,0.747,3.941,0.7455,1.0175,-1.2487,2.7398,0.762,NA,NA,0.813,NA,not_reported,not_reported,OpenAlex,10.3390/app15126836,,,,,,,,,,,low,,,,,,,,,,,,,"Total n=37 second-year undergraduate students mentioned in text, but no demographic/baseline characteristics table found in provided pages",,
23,023_04,Impact of Developer Queries on the Effectiveness of Conversational Large Language Models in Programming,2025,Viktor Taneski; Sašo Karakatič; Patrik Rek; Gregor Jošt,Concept Clarification (CC) Query Performance,cognitive,understand,27,10,0.756,3.743,1.025,4.567,-0.0663,0.3703,-0.792,0.6594,-0.0677,NA,NA,0.439,NA,not_reported,not_reported,OpenAlex,10.3390/app15126836,,,,,,,,,,,low,,,,,,,,,,,,,"Total n=37 second-year undergraduate students mentioned in text, but no demographic/baseline characteristics table found in provided pages",,
23,023_05,Impact of Developer Queries on the Effectiveness of Conversational Large Language Models in Programming,2025,Viktor Taneski; Sašo Karakatič; Patrik Rek; Gregor Jošt,Error Fixing (EF) Query Performance,cognitive,analyze,31,6,0.287,3.508,3.625,5.044,-0.8672,0.4573,-1.7635,0.029,-0.8864,NA,NA,0.042,NA,not_reported,not_reported,OpenAlex,10.3390/app15126836,,,,,,,,,,,low,,,,,,,,,,,,,"Total n=37 second-year undergraduate students mentioned in text, but no demographic/baseline characteristics table found in provided pages",,
23,023_06,Impact of Developer Queries on the Effectiveness of Conversational Large Language Models in Programming,2025,Viktor Taneski; Sašo Karakatič; Patrik Rek; Gregor Jošt,Code Understanding (CU) Query Performance,cognitive,understand,33,4,0.361,3.695,4.688,4.033,-1.1365,0.5457,-2.206,-0.067,-1.1616,NA,NA,0.03,NA,not_reported,not_reported,OpenAlex,10.3390/app15126836,,,,,,,,,,,low,,,,,,,,,,,,,"Total n=37 second-year undergraduate students mentioned in text, but no demographic/baseline characteristics table found in provided pages",,
23,023_07,Impact of Developer Queries on the Effectiveness of Conversational Large Language Models in Programming,2025,Viktor Taneski; Sašo Karakatič; Patrik Rek; Gregor Jošt,Code Optimization (CO) Query Performance,cognitive,evaluate,16,21,0.219,3.158,1.293,4.429,-0.2671,0.3333,-0.9203,0.3862,-0.2729,NA,NA,0.26,NA,not_reported,not_reported,OpenAlex,10.3390/app15126836,,,,,,,,,,,low,,,,,,,,,,,,,"Total n=37 second-year undergraduate students mentioned in text, but no demographic/baseline characteristics table found in provided pages",,
24,024_01,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Tutoring Protocols,cognitive,apply,1,0,0.83,0,0.44,1,NA,NA,NA,NA,NA,NA,NA,0.001,NA,quasi-experimental,ChatGPT,arXiv,,,,,,,,,,,,high,,,,,,,,,,,,,No baseline demographics table found in provided pages. Only Table 1 present shows test performance data.,,
24,024_02,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Difficulty Identification,cognitive,analyze,1,0,0.95,1,0.7,1,NA,NA,NA,NA,NA,NA,NA,0.001,NA,quasi-experimental,ChatGPT,arXiv,,,,,,,,,,,,high,,,,,,,,,,,,,No baseline demographics table found in provided pages. Only Table 1 present shows test performance data.,,
24,024_03,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,AI's Role,cognitive,understand,0,1,0.62,0,0,1,NA,NA,NA,NA,NA,NA,NA,0.001,NA,quasi-experimental,ChatGPT,arXiv,,,,,,,,,,,,high,,,,,,,,,,,,,No baseline demographics table found in provided pages. Only Table 1 present shows test performance data.,,
24,024_04,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Problem Context,cognitive,understand,NA,NA,0.94,1,0.77,0.94,NA,NA,NA,NA,NA,NA,NA,0.001,NA,quasi-experimental,ChatGPT,arXiv,,,,,,,,,,,,high,,,,,,,,,,,,,No baseline demographics table found in provided pages. Only Table 1 present shows test performance data.,,
24,024_05,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Learner's Level,cognitive,understand,NA,NA,0.65,0,0.08,0.65,NA,NA,NA,NA,NA,NA,NA,0.001,NA,quasi-experimental,ChatGPT,arXiv,,,,,,,,,,,,high,,,,,,,,,,,,,No baseline demographics table found in provided pages. Only Table 1 present shows test performance data.,,
24,024_06,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Guardrails,cognitive,apply,NA,NA,0.82,0,0.25,0.82,NA,NA,NA,NA,NA,NA,NA,0.001,NA,quasi-experimental,ChatGPT,arXiv,,,,,,,,,,,,high,,,,,,,,,,,,,No baseline demographics table found in provided pages. Only Table 1 present shows test performance data.,,
24,024_07,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Tutoring Protocols,cognitive,apply,NA,NA,0.39,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,quasi-experimental,ChatGPT,arXiv,,,,,,,,,,,,high,,,,,,,,,,,,,No baseline demographics table found in provided pages. Only Table 1 present shows test performance data.,,
24,024_08,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Difficulty Identification,cognitive,analyze,NA,NA,0.26,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,quasi-experimental,ChatGPT,arXiv,,,,,,,,,,,,high,,,,,,,,,,,,,No baseline demographics table found in provided pages. Only Table 1 present shows test performance data.,,
24,024_09,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,AI's Role,cognitive,understand,NA,NA,0.62,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,quasi-experimental,ChatGPT,arXiv,,,,,,,,,,,,high,,,,,,,,,,,,,No baseline demographics table found in provided pages. Only Table 1 present shows test performance data.,,
24,024_10,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Problem Context,cognitive,understand,NA,NA,0.17,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,quasi-experimental,ChatGPT,arXiv,,,,,,,,,,,,high,,,,,,,,,,,,,No baseline demographics table found in provided pages. Only Table 1 present shows test performance data.,,
24,024_11,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Learner's Level,cognitive,understand,NA,NA,0.58,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,quasi-experimental,ChatGPT,arXiv,,,,,,,,,,,,high,,,,,,,,,,,,,No baseline demographics table found in provided pages. Only Table 1 present shows test performance data.,,
24,024_12,Improving Student-AI Interaction Through Pedagogical Prompting: An Example in Computer Science Education,2025,Ruiwei Xiao; Xinying Hou; Runlong Ye; Majeed Kazemitabaar; Nicholas Diana; Michael Liut; John Stamper,Guardrails,cognitive,apply,NA,NA,0.56,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,quasi-experimental,ChatGPT,arXiv,,,,,,,,,,,,high,,,,,,,,,,,,,No baseline demographics table found in provided pages. Only Table 1 present shows test performance data.,,
25,025_01,"Integrating Peer Assessment Cycle into ChatGPT for STEM Education: A Randomised Controlled Trial on Knowledge, Skills, and Attitudes Enhancement",2025,Ting-Ting Wu; Hsin-Yu Lee; Pei-Hua Chen; Chia-Ju Lin; Yueh-Min Huang,Knowledge Construction,cognitive,apply,31,30,76.5,6.88,69.6,7.65,0.9372,0.2698,0.4084,1.466,0.9493,NA,9.89,0.002,0.129,RCT,not_reported,ERIC,10.1111/jcal.13085,,,,,,,,,,,medium,,,,,,,,,first-year,first-year,CG,EG,"61 first-year engineering students (43 males, 18 females) from Network Embedded Systems course. CG=30, EG=31. Baseline demographics table not visible in provided pages.",undergraduate,undergraduate
25,025_02,"Integrating Peer Assessment Cycle into ChatGPT for STEM Education: A Randomised Controlled Trial on Knowledge, Skills, and Attitudes Enhancement",2025,Ting-Ting Wu; Hsin-Yu Lee; Pei-Hua Chen; Chia-Ju Lin; Yueh-Min Huang,Critical Thinking,cognitive,analyze,31,30,17.3,2.19,13.9,1.98,1.6065,0.2945,1.0292,2.1837,1.6272,NA,37,<0.001,0.389,RCT,not_reported,ERIC,10.1111/jcal.13085,,,,,,,,,,,medium,,,,,,,,,first-year,first-year,CG,EG,"61 first-year engineering students (43 males, 18 females) from Network Embedded Systems course. CG=30, EG=31. Baseline demographics table not visible in provided pages.",undergraduate,undergraduate
25,025_03,"Integrating Peer Assessment Cycle into ChatGPT for STEM Education: A Randomised Controlled Trial on Knowledge, Skills, and Attitudes Enhancement",2025,Ting-Ting Wu; Hsin-Yu Lee; Pei-Hua Chen; Chia-Ju Lin; Yueh-Min Huang,Problem-solving,cognitive,apply,31,30,15.9,2.01,14.2,2.09,0.8188,0.2666,0.2962,1.3414,0.8294,NA,9.4,0.003,0.139,RCT,not_reported,ERIC,10.1111/jcal.13085,,,,,,,,,,,medium,,,,,,,,,first-year,first-year,CG,EG,"61 first-year engineering students (43 males, 18 females) from Network Embedded Systems course. CG=30, EG=31. Baseline demographics table not visible in provided pages.",undergraduate,undergraduate
25,025_04,"Integrating Peer Assessment Cycle into ChatGPT for STEM Education: A Randomised Controlled Trial on Knowledge, Skills, and Attitudes Enhancement",2025,Ting-Ting Wu; Hsin-Yu Lee; Pei-Hua Chen; Chia-Ju Lin; Yueh-Min Huang,Creativity,cognitive,create,31,30,11.1,1.22,10.3,0.96,0.718,0.2642,0.2002,1.2359,0.7273,NA,7.22,0.009,0.111,RCT,not_reported,ERIC,10.1111/jcal.13085,,,,,,,,,,,medium,,,,,,,,,first-year,first-year,CG,EG,"61 first-year engineering students (43 males, 18 females) from Network Embedded Systems course. CG=30, EG=31. Baseline demographics table not visible in provided pages.",undergraduate,undergraduate
25,025_05,"Integrating Peer Assessment Cycle into ChatGPT for STEM Education: A Randomised Controlled Trial on Knowledge, Skills, and Attitudes Enhancement",2025,Ting-Ting Wu; Hsin-Yu Lee; Pei-Hua Chen; Chia-Ju Lin; Yueh-Min Huang,Attitudes towards science,affective,not_reported,31,30,35.9,2.95,34.5,2.71,0.4876,0.2599,-0.0218,0.997,0.4939,NA,3.609,0.062,0.059,RCT,not_reported,ERIC,10.1111/jcal.13085,,,,,,,,,,,medium,,,,,,,,,first-year,first-year,CG,EG,"61 first-year engineering students (43 males, 18 females) from Network Embedded Systems course. CG=30, EG=31. Baseline demographics table not visible in provided pages.",undergraduate,undergraduate
25,025_06,"Integrating Peer Assessment Cycle into ChatGPT for STEM Education: A Randomised Controlled Trial on Knowledge, Skills, and Attitudes Enhancement",2025,Ting-Ting Wu; Hsin-Yu Lee; Pei-Hua Chen; Chia-Ju Lin; Yueh-Min Huang,Attitudes towards mathematics,affective,not_reported,31,30,36.6,2.86,33.1,2.3,1.329,0.283,0.7744,1.8837,1.3462,NA,25.52,<0.001,0.306,RCT,not_reported,ERIC,10.1111/jcal.13085,,,,,,,,,,,medium,,,,,,,,,first-year,first-year,CG,EG,"61 first-year engineering students (43 males, 18 females) from Network Embedded Systems course. CG=30, EG=31. Baseline demographics table not visible in provided pages.",undergraduate,undergraduate
25,025_07,"Integrating Peer Assessment Cycle into ChatGPT for STEM Education: A Randomised Controlled Trial on Knowledge, Skills, and Attitudes Enhancement",2025,Ting-Ting Wu; Hsin-Yu Lee; Pei-Hua Chen; Chia-Ju Lin; Yueh-Min Huang,Attitudes towards engineering/technology,affective,not_reported,31,30,32.2,4.6,27.5,4.3,1.0415,0.2729,0.5066,1.5764,1.055,NA,16.06,<0.001,0.217,RCT,not_reported,ERIC,10.1111/jcal.13085,,,,,,,,,,,medium,,,,,,,,,first-year,first-year,CG,EG,"61 first-year engineering students (43 males, 18 females) from Network Embedded Systems course. CG=30, EG=31. Baseline demographics table not visible in provided pages.",undergraduate,undergraduate
